year,month,value
2002,7,372.7
2002,8,370.21
2002,9,369.14
2002,10,371.04
2002,11,373.29
2002,12,375.44
2003,1,377.38
2003,2,377.9
2003,3,377.81
2003,4,378.69
2003,5,379.98
2003,6,379.24
2003,7,375.97
2003,8,372.62
2003,9,372.76
2003,10,374.68
2003,11,375.71
2003,12,376.72
2004,1,378.28
2004,2,379.41
2004,3,379.96
2004,4,380.95
2004,5,381.42
2004,6,380.4
2004,7,378.82
2004,8,377.18
2004,9,375.33
2004,10,375.53
2004,11,377.53
2004,12,377.91
2005,1,378.55
2005,2,381.45
2005,3,383.38
2005,4,383.66
2005,5,384.05
2005,6,382.29
2005,7,379.13
2005,8,376.59
2005,9,376.04
2005,10,377.18
2005,11,378.89
2005,12,380.71
2006,1,382.66
2006,2,383.69
2006,3,384.27
2006,4,385.6
2006,5,386.59
2006,6,385.45
2006,7,382.74
2006,8,379.02
2006,9,377.53
2006,10,379.32
2006,11,381.8
2006,12,382.99
2007,1,384.39
2007,2,385.71
2007,3,385.82
2007,4,386.68
2007,5,387.48
2007,6,386.21
2007,7,383.57
2007,8,381.53
2007,9,381.31
2007,10,382
2007,11,382.94
2007,12,384.37
2008,1,386.4
2008,2,387.77
2008,3,388.32
2008,4,389.92
2008,5,391.02
2008,6,389.21
2008,7,386.21
2008,8,384.12
2008,9,382.95
2008,10,383.32
2008,11,384.78
2008,12,386.63
2009,1,388.34
2009,2,389.32
2009,3,389.55
2009,4,390.41
2009,5,391.51
2009,6,389.92
2009,7,386.82
2009,8,384.95
2009,9,383.67
2009,10,384.62
2009,11,386.86
2009,12,388.34
2010,1,389.74
2010,2,391.8
2010,3,392.61
2010,4,393.35
2010,5,394.55
2010,6,392.89
2010,7,389.01
2010,8,386.37
2010,9,386.45
2010,10,388.68
2010,11,390.54
2010,12,391.12
2011,1,392.77
2011,2,393.69
2011,3,393.94
2011,4,395.66
2011,5,396.36
2011,6,394.09
2011,7,390.96
2011,8,388.99
2011,9,387.91
2011,10,388.91
2011,11,392.06
2011,12,393.65
2012,1,394.2
2012,2,395.66
2012,3,396.75
2012,4,397.71
2012,5,398.3
2012,6,396.33
2012,7,393.3
2012,8,391.59
2012,9,391.08
2012,10,392.38
2012,11,394.07
2012,12,395.14
2013,1,396.7
2013,2,398.48
2013,3,399.91
2013,4,399.99
2013,5,400.67
2013,6,400.01
2013,7,396.34
2013,8,393.73
2013,9,392.66
2013,10,394.29
2013,11,397.18
2013,12,397.93
2014,1,398.85
2014,2,399.73
2014,3,400.41
2014,4,401.95
2014,5,402.72
2014,6,401.49
2014,7,398.26
2014,8,395.5
2014,9,395.32
2014,10,396.73
2014,11,398.74
2014,12,400.42
2015,1,401.93
2015,2,403.04
2015,3,403.48
2015,4,404.17
2015,5,404.44
2015,6,403.07
2015,7,399.95
2015,8,397.53
2015,9,397.29
2015,10,398.91
2015,11,400.71
2015,12,402.74
2016,1,405.9
2016,2,407.27
2016,3,406.9
2016,4,407.8
2016,5,408.52
2016,6,406.65
2016,7,403.51
2016,8,400.78
2016,9,400.03
2016,10,401.71
2016,11,404.24
2016,12,405.95
2017,1,407.92
2017,2,408.99
2017,3,408.97
2017,4,409.45
2017,5,410.16
2017,6,409.53
2017,7,406.71
2017,8,402.89
2017,9,402.05
2017,10,403.99
2017,11,406.77
2017,12,408.59
2018,1,409.18
2018,2,409.96
2018,3,410.83
2018,4,412.21
2018,5,413.22
2018,6,411.21
2018,7,408.02
2018,8,405.64
2018,9,404.62
2018,10,406.05
2018,11,408.63
2018,12,410.26
2019,1,411.07
2019,2,412.78
2019,3,414.96
2019,4,415.44
2019,5,415.39
2019,6,414.5
2019,7,411.42
2019,8,408.36
2019,9,407.56
2019,10,408.88
2019,11,410.64
2019,12,412.73
2020,1,414.16
2020,2,415.05
2020,3,416.17
2020,4,416.92
2020,5,417.52
2020,6,416.04
2020,7,412.87
2020,8,410.79
2020,9,410.65
2020,10,412.65
2020,11,414.39
2020,12,415.56
2021,1,416.93
2021,2,417.87
2021,3,418.61
2021,4,419.73
2021,5,420
2021,6,419.14
2021,7,416.2
2021,8,412.4
2021,9,412
2021,10,414
2021,11,415.8
2021,12,417.7
2022,1,419.18
2022,2,419.74
2022,3,420.19
2022,4,421.84
2022,5,422.87
2022,6,420.73
2022,7,418.18
2022,8,415.93
2022,9,414.7
2022,10,415.73
2022,11,417.99
2022,12,419.49
